rule,string,count
524,0011000001000000,3
525,1011000001000000,4
526,0111000001000000,4
527,1111000001000000,5
528,0000100001000000,2
529,1000100001000000,3
530,0100100001000000,3
531,1100100001000000,4
532,0010100001000000,3
533,1010100001000000,4
534,0110100001000000,4
535,1110100001000000,5
536,0001100001000000,3
537,1001100001000000,4
538,0101100001000000,4
539,1101100001000000,5
540,0011100001000000,4
541,1011100001000000,5
542,0111100001000000,5
543,1111100001000000,6
544,0000010001000000,2
545,1000010001000000,3
546,0100010001000000,3
547,1100010001000000,4
548,0010010001000000,3
549,1010010001000000,4
550,0110010001000000,4
551,1110010001000000,5
552,0001010001000000,3
553,1001010001000000,4
554,0101010001000000,4
555,1101010001000000,5
556,0011010001000000,4
557,1011010001000000,5
558,0111010001000000,5
559,1111010001000000,6
560,0000110001000000,3
561,1000110001000000,4
562,0100110001000000,4
563,1100110001000000,5
564,0010110001000000,4
565,1010110001000000,5
566,0110110001000000,5
567,1110110001000000,6
568,0001110001000000,4
569,1001110001000000,5
570,0101110001000000,5
571,1101110001000000,6
572,0011110001000000,5
573,1011110001000000,6
574,0111110001000000,6
575,1111110001000000,7
576,0000001001000000,2
577,1000001001000000,3
578,0100001001000000,3
579,1100001001000000,4
580,0010001001000000,3
581,1010001001000000,4
582,0110001001000000,4
583,1110001001000000,5
584,0001001001000000,3
585,1001001001000000,4
586,0101001001000000,4
587,1101001001000000,5
588,0011001001000000,4
589,1011001001000000,5
590,0111001001000000,5
591,1111001001000000,6
592,0000101001000000,3
593,1000101001000000,4
594,0100101001000000,4
595,1100101001000000,5
596,0010101001000000,4
597,1010101001000000,5
598,0110101001000000,5
599,1110101001000000,6
600,0001101001000000,4
601,1001101001000000,5
602,0101101001000000,5
603,1101101001000000,6
604,0011101001000000,5
605,1011101001000000,6
606,0111101001000000,6
607,1111101001000000,7
608,0000011001000000,3
609,1000011001000000,4
610,0100011001000000,4
611,1100011001000000,5
612,0010011001000000,4
613,1010011001000000,5
614,0110011001000000,5
615,1110011001000000,6
616,0001011001000000,4
617,1001011001000000,5
618,0101011001000000,5
619,1101011001000000,6
620,0011011001000000,5
621,1011011001000000,6
622,0111011001000000,6
623,1111011001000000,7
624,0000111001000000,4
625,1000111001000000,5
626,0100111001000000,5
627,1100111001000000,6
628,0010111001000000,5
629,1010111001000000,6
630,0110111001000000,6
631,1110111001000000,7
632,0001111001000000,5
633,1001111001000000,6
634,0101111001000000,6
635,1101111001000000,7
636,0011111001000000,6
637,1011111001000000,7
638,0111111001000000,7
639,1111111001000000,8
640,0000000101000000,2
641,1000000101000000,3
642,0100000101000000,3
643,1100000101000000,4
644,0010000101000000,3
645,1010000101000000,4
646,0110000101000000,4
647,1110000101000000,5
648,0001000101000000,3
649,1001000101000000,4
650,0101000101000000,4
651,1101000101000000,5
652,0011000101000000,4
653,1011000101000000,5
654,0111000101000000,5
655,1111000101000000,6
656,0000100101000000,3
657,1000100101000000,4
658,0100100101000000,4
659,1100100101000000,5
660,0010100101000000,4
661,1010100101000000,5
662,0110100101000000,5
663,1110100101000000,6
664,0001100101000000,4
665,1001100101000000,5
666,0101100101000000,5
667,1101100101000000,6
668,0011100101000000,5
669,1011100101000000,6
670,0111100101000000,6
671,1111100101000000,7
672,0000010101000000,3
673,1000010101000000,4
674,0100010101000000,4
675,1100010101000000,5
676,0010010101000000,4
677,1010010101000000,5
678,0110010101000000,5
679,1110010101000000,6
680,0001010101000000,4
681,1001010101000000,5
682,0101010101000000,5
683,1101010101000000,6
684,0011010101000000,5
685,1011010101000000,6
686,0111010101000000,6
687,1111010101000000,7
688,0000110101000000,4
689,1000110101000000,5
690,0100110101000000,5
691,1100110101000000,6
692,0010110101000000,5
693,1010110101000000,6
694,0110110101000000,6
695,1110110101000000,7
696,0001110101000000,5
